Opérateur,Statut,Année,Valeur
BUSINESS FRANCE,EPIC,2022,1583
BUSINESS FRANCE,EPIC,2023,1605
CAMPUS FRANCE,EPIC,2021,870
CAMPUS FRANCE,EPIC,2022,953
CAMPUS FRANCE,EPIC,2023,0
CENTRALE LILLE INSTITUT,EPSCP,2021,920
CENTRALE LILLE INSTITUT,EPSCP,2022,1034
CENTRALE LILLE INSTITUT,EPSCP,2023,1018
CENTRALESUPELEC,EPSCP,2021,1269
CENTRALESUPELEC,EPSCP,2022,1316
CENTRALESUPELEC,EPSCP,2023,1316
CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT,EPA,2021,1419
CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT,EPA,2022,1394
CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT,EPA,2023,1412
CENTRE D'ETUDES ET DE RECHERCHES SUR LES QUALIFICATIONS,EPA,2021,1372
CENTRE D'ETUDES ET DE RECHERCHES SUR LES QUALIFICATIONS,EPA,2022,1311
CENTRE D'ETUDES ET DE RECHERCHES SUR LES QUALIFICATIONS,EPA,2023,1427
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT,EPIC,2021,883
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT,EPIC,2022,932
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT,EPIC,2023,959
CENTRE DES MONUMENTS NATIONAUX,EPA,2021,1040
CENTRE DES MONUMENTS NATIONAUX,EPA,2022,1092
CENTRE DES MONUMENTS NATIONAUX,EPA,2023,1058
CENTRE INFORMATIQUE NATIONAL DE L'ENSEIGNEMENT SUPERIEUR,EPA,2021,650
CENTRE INFORMATIQUE NATIONAL DE L'ENSEIGNEMENT SUPERIEUR,EPA,2022,665
CENTRE INFORMATIQUE NATIONAL DE L'ENSEIGNEMENT SUPERIEUR,EPA,2023,680
CENTRE NATIONAL D'ART ET DE CULTURE GEORGES POMPIDOU,EPA,2021,1096
CENTRE NATIONAL D'ART ET DE CULTURE GEORGES POMPIDOU,EPA,2022,1098
CENTRE NATIONAL D'ART ET DE CULTURE GEORGES POMPIDOU,EPA,2023,1194
CENTRE NATIONAL D'ENSEIGNEMENT A DISTANCE,EPA,2021,875
CENTRE NATIONAL D'ENSEIGNEMENT A DISTANCE,EPA,2022,836
CENTRE NATIONAL D'ENSEIGNEMENT A DISTANCE,EPA,2023,966
CENTRE NATIONAL D'ETUDES SPATIALES,EPIC,2021,1955
CENTRE NATIONAL D'ETUDES SPATIALES,EPIC,2022,2008
CENTRE NATIONAL D'ETUDES SPATIALES,EPIC,2023,2182
CENTRE NATIONAL DE LA DANSE,EPIC,2021,652
CENTRE NATIONAL DE LA DANSE,EPIC,2022,668
CENTRE NATIONAL DE LA DANSE,EPIC,2023,678
CENTRE NATIONAL DE LA MUSIQUE,EPIC,2021,966
CENTRE NATIONAL DE LA MUSIQUE,EPIC,2022,1030
CENTRE NATIONAL DE LA MUSIQUE,EPIC,2023,935
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,EPST,2021,1742
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,EPST,2022,1524
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,EPST,2023,1551
CENTRE NATIONAL DE LE PROPRIETE FORESTIERE,EPA,2021,989
CENTRE NATIONAL DE LE PROPRIETE FORESTIERE,EPA,2022,1025
CENTRE NATIONAL DE LE PROPRIETE FORESTIERE,EPA,2023,1038
CENTRE NATIONAL DES ARTS DU CIRQUE,Association,2021,560
CENTRE NATIONAL DES ARTS DU CIRQUE,Association,2022,577
CENTRE NATIONAL DES ARTS DU CIRQUE,Association,2023,542
CENTRE NATIONAL DES ARTS PLASTIQUES,EPA,2021,658
CENTRE NATIONAL DES ARTS PLASTIQUES,EPA,2022,694
CENTRE NATIONAL DES ARTS PLASTIQUES,EPA,2023,743
CENTRE NATIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES - CNOUS,EPA,2021,1132
CENTRE NATIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES - CNOUS,EPA,2022,1203
CENTRE NATIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES - CNOUS,EPA,2023,0
CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE,EPA,2021,1348
CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE,EPA,2022,1342
CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE,EPA,2023,1358
CENTRE NATIONAL DU LIVRE,EPA,2021,673
CENTRE NATIONAL DU LIVRE,EPA,2022,805
CENTRE NATIONAL DU LIVRE,EPA,2023,809
CENTRE POUR LE DEVELOPPEMENT DE L'INFORMATION SUR LA FORMATION PERMANENTE,Association,2021,771
CENTRE POUR LE DEVELOPPEMENT DE L'INFORMATION SUR LA FORMATION PERMANENTE,Association,2022,780
CENTRE POUR LE DEVELOPPEMENT DE L'INFORMATION SUR LA FORMATION PERMANENTE,Association,2023,807
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AIX - MARSEILLE,EPA,2021,579
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AIX - MARSEILLE,EPA,2022,665
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AIX - MARSEILLE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AMIENS,EPA,2021,585
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AMIENS,EPA,2022,526
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - AMIENS,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ANTILLES GUYANE,EPA,2021,784
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ANTILLES GUYANE,EPA,2022,728
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ANTILLES GUYANE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BORDEAUX,EPA,2021,654
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BORDEAUX,EPA,2022,634
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BORDEAUX,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BOURGOGNE FRANCHE -COMTE,EPA,2021,610
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BOURGOGNE FRANCHE -COMTE,EPA,2022,641
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - BOURGOGNE FRANCHE -COMTE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CLERMONT FERRAND,EPA,2021,550
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CLERMONT FERRAND,EPA,2022,588
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CLERMONT FERRAND,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CORTE,EPA,2021,397
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CORTE,EPA,2022,429
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CORTE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CRETEIL,EPA,2021,602
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CRETEIL,EPA,2022,759
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - CRETEIL,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - GRENOBLE,EPA,2021,579
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - GRENOBLE,EPA,2022,616
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - GRENOBLE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LILLE,EPA,2021,630
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LILLE,EPA,2022,670
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LILLE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LIMOGES,EPA,2021,502
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LIMOGES,EPA,2022,548
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LIMOGES,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LYON,EPA,2021,658
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LYON,EPA,2022,650
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - LYON,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - MONTPELLIER,EPA,2021,648
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - MONTPELLIER,EPA,2022,648
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - MONTPELLIER,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANCY - METZ,EPA,2021,570
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANCY - METZ,EPA,2022,628
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANCY - METZ,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANTES,EPA,2021,630
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANTES,EPA,2022,651
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NANTES,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NICE,EPA,2021,550
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NICE,EPA,2022,589
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NICE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NORMANDIE,EPA,2021,694
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NORMANDIE,EPA,2022,723
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - NORMANDIE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ORLEANS - TOURS,EPA,2021,623
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ORLEANS - TOURS,EPA,2022,644
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - ORLEANS - TOURS,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - PARIS,EPA,2021,677
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - PARIS,EPA,2022,806
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - PARIS,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - POITIERS,EPA,2021,629
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - POITIERS,EPA,2022,649
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - POITIERS,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REIMS,EPA,2021,505
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REIMS,EPA,2022,510
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REIMS,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - RENNES,EPA,2021,682
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - RENNES,EPA,2022,726
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - RENNES,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REUNION,EPA,2021,315
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REUNION,EPA,2022,315
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REUNION,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2021,601
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2022,582
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2021,697
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2022,725
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2021,726
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2022,720
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2023,0
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2021,513
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2022,530
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2023,532
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2021,762
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2022,726
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2023,803
CINEMATHEQUE FRANCAISE,Association,2021,876
CINEMATHEQUE FRANCAISE,Association,2022,903
CINEMATHEQUE FRANCAISE,Association,2023,1000
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2021,839
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2022,975
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2023,844
CLERMONT AUVERGNE INP,EPSCP,2021,867
CLERMONT AUVERGNE INP,EPSCP,2022,903
CLERMONT AUVERGNE INP,EPSCP,2023,920
COLLEGE DE FRANCE,EPSCP,2021,1199
